# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1767821918621000000,1767821923778000000,3
FilePageCache.totalPageLoadsUs,1767821918621000000,1767821923778000000,73785
FilePageCache.pageHits,1767821918621000000,1767821923778000000,0
DirectByteBufferAllocator.misses,1767821918621000000,1767821923778000000,190
FilePageCache.pageFastCacheHits,1767821918621000000,1767821923778000000,3820
MappedFileStorage.totalBytesMapped,1767821918621000000,1767821923778000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1767821918621000000,1767821923778000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1767821918621000000,1767821923778000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1767821918621000000,1767821923778000000,0
FilePageCacheLockFree.totalPagesReadMs,1767821918621000000,1767821923778000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1767821918621000000,1767821923778000000,0
FilePageCacheLockFree.totalPagesReclaimed,1767821918621000000,1767821923778000000,0
StorageLockContext.competingThreads.avg,1767821918621000000,1767821923778000000,0.0
DirectByteBufferAllocator.disposed,1767821918621000000,1767821923778000000,150
FilePageCache.disposedBuffers,1767821918621000000,1767821923778000000,193
FilePageCacheLockFree.housekeeperTurnsSkipped,1767821918621000000,1767821923778000000,0
FilePageCache.pageLoads,1767821918621000000,1767821923778000000,193
MappedFileStorage.totalTimeSpentOnMappingUs,1767821918621000000,1767821923778000000,6581
FilePageCache.maxRegisteredFiles,1767821918621000000,1767821923778000000,529
VFS.fileByIdCache.misses,1767821918621000000,1767821923778000000,0
VFS.fileByIdCache.hits,1767821918621000000,1767821923778000000,0
VFS.fileChildByName,1767821918621000000,1767821923778000000,10
VFS.invertedFileNameIndex.requests,1767821918621000000,1767821923778000000,0
FlushQueue.tasksExecuted,1767821918621000000,1767821923778000000,530
FlushQueue.waitingTimeAvgNs,1767821918621000000,1767821923778000000,1.0748523231849058E9
