# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1733086849345000000,1733086866694000000,10
cacheStateStorage.set.counter,1733086849345000000,1733086866694000000,0
cacheStateStorage.get.duration,1733086849345000000,1733086866694000000,0
cacheStateStorage.set.duration,1733086849345000000,1733086866694000000,0
FlushQueue.executionTimeAvgNs,1733086849345000000,1733086866694000000,0.0
FlushQueue.waitingTimeAvgNs,1733086849345000000,1733086866694000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1733086849345000000,1733086866694000000,0
NonBlockingReadAction.finalizedExecutionsCount,1733086849345000000,1733086866694000000,17
FlushQueue.queueSize90P,1733086849345000000,1733086866694000000,0
AWTEventQueue.dispatchTimeAvgNs,1733086849345000000,1733086866694000000,0.0
FlushQueue.waitingTimeMaxNs,1733086849345000000,1733086866694000000,0
FlushQueue.queueSizeMax,1733086849345000000,1733086866694000000,0
AWTEventQueue.dispatchTime90PNs,1733086849345000000,1733086866694000000,0
WriteAction.executionsCount,1733086849345000000,1733086866694000000,1
AWTEventQueue.eventsDispatched,1733086849345000000,1733086866694000000,0
FlushQueue.tasksExecuted,1733086849345000000,1733086866694000000,0
NonBlockingReadAction.failedExecutionsCount,1733086849345000000,1733086866694000000,0
ReadAction.executionsCount,1733086849345000000,1733086866694000000,45775
FlushQueue.executionTimeMaxNs,1733086849345000000,1733086866694000000,0
FlushQueue.waitingTime90PNs,1733086849345000000,1733086866694000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1733086849345000000,1733086866694000000,92608
AWTEventQueue.dispatchTimeTotalNS,1733086849345000000,1733086866694000000,15542841005
FlushQueue.executionTime90PNs,1733086849345000000,1733086866694000000,0
AWTEventQueue.dispatchTimeMaxNs,1733086849345000000,1733086866694000000,0
FlushQueue.queueSizeAvg,1733086849345000000,1733086866694000000,0.0
writeAction.max.wait.ms,1733086849345000000,1733086866694000000,1
writeAction.count,1733086849345000000,1733086866694000000,1
writeAction.median.wait.ms,1733086849345000000,1733086866694000000,0
writeAction.wait.ms,1733086849345000000,1733086866694000000,1
VFS.fileByIdCache.misses,1733086849345000000,1733086866694000000,0
VFS.fileChildByName,1733086849345000000,1733086866694000000,10
VFS.invertedFileNameIndex.requests,1733086849345000000,1733086866694000000,0
VFS.fileByIdCache.hits,1733086849345000000,1733086866694000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1733086849345000000,1733086866694000000,41943040
StorageLockContext.competingThreads.90P,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1733086849345000000,1733086866694000000,0
StorageLockContext.competingThreads.avg,1733086849345000000,1733086866694000000,0.0
FilePageCacheLockFree.housekeeperTimeSpentMs,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1733086849345000000,1733086866694000000,0
MappedFileStorage.totalPagesMapped,1733086849345000000,1733086866694000000,0
FilePageCache.uncachedFileAccess,1733086849345000000,1733086866694000000,109
FilePageCacheLockFree.totalBytesRequested,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalPagesRequested,1733086849345000000,1733086866694000000,0
FilePageCache.totalPageLoadsUs,1733086849345000000,1733086866694000000,168702
FilePageCacheLockFree.totalPagesHandedOver,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1733086849345000000,1733086866694000000,0
DirectByteBufferAllocator.hits,1733086849345000000,1733086866694000000,3
FilePageCacheLockFree.heapBytesInUse,1733086849345000000,1733086866694000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1733086849345000000,1733086866694000000,41943040
FilePageCacheLockFree.totalPagesRequestsMs,1733086849345000000,1733086866694000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1733086849345000000,1733086866694000000,0
FilePageCache.capacityInBytes,1733086849345000000,1733086866694000000,503316478
FilePageCache.maxCacheSizeInBytes,1733086849345000000,1733086866694000000,199229440
FilePageCacheLockFree.totalPagesWriteMs,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalPagesWritten,1733086849345000000,1733086866694000000,0
FilePageCache.pageLoads,1733086849345000000,1733086866694000000,193
FilePageCacheLockFree.housekeeperTurnsSkipped,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1733086849345000000,1733086866694000000,0
MappedFileStorage.totalBytesMapped,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalPagesReadMs,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalBytesWritten,1733086849345000000,1733086866694000000,0
FilePageCache.totalPageDisposalsUs,1733086849345000000,1733086866694000000,9710
DirectByteBufferAllocator.misses,1733086849345000000,1733086866694000000,190
MappedFileStorage.storages,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalPagesAllocated,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalPagesReclaimed,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.nativeBytesInUse,1733086849345000000,1733086866694000000,0
DirectByteBufferAllocator.disposed,1733086849345000000,1733086866694000000,150
MappedFileStorage.totalTimeSpentOnMappingUs,1733086849345000000,1733086866694000000,34749
FileChannelInterruptsRetryer.totalRetriedAttempts,1733086849345000000,1733086866694000000,0
DirectByteBufferAllocator.reclaimed,1733086849345000000,1733086866694000000,43
FilePageCache.pageHits,1733086849345000000,1733086866694000000,0
StorageLockContext.competingThreads.max,1733086849345000000,1733086866694000000,0
FilePageCacheLockFree.totalBytesRead,1733086849345000000,1733086866694000000,0
FilePageCache.disposedBuffers,1733086849345000000,1733086866694000000,193
FilePageCache.pageFastCacheHits,1733086849345000000,1733086866694000000,3809
FilePageCache.maxRegisteredFiles,1733086849345000000,1733086866694000000,529
FilePageCacheLockFree.totalHeapBytesAllocated,1733086849345000000,1733086866694000000,0
jps.load.initial.state.ms,1733086849345000000,1733086866694000000,46
workspaceModel.mutableEntityStorage.collect.changes.ms,1733086849345000000,1733086866694000000,0
jps.global.handle.before.change.events.ms,1733086849345000000,1733086866694000000,0
workspaceModel.global.updates.ms,1733086849345000000,1733086866694000000,0
jps.global.get.libraries.ms,1733086849345000000,1733086866694000000,0
workspaceModel.global.updates.count,1733086849345000000,1733086866694000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1733086849345000000,1733086866694000000,0
jps.global.get.library.ms,1733086849345000000,1733086866694000000,0
jps.app.storage.content.reader.load.component.ms,1733086849345000000,1733086866694000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1733086849345000000,1733086866694000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1733086849345000000,1733086866694000000,0
jps.library.entities.serializer.load.entities.ms,1733086849345000000,1733086866694000000,0
jps.global.handle.changed.events.ms,1733086849345000000,1733086866694000000,0
workspaceModel.save.cache.to.file.ms,1733086849345000000,1733086866694000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1733086849345000000,1733086866694000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1733086849345000000,1733086866694000000,0
jps.global.initialize.library.bridges.ms,1733086849345000000,1733086866694000000,0
workspaceModel.mutableEntityStorage.instances.count,1733086849345000000,1733086866694000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1733086849345000000,1733086866694000000,0
workspaceModel.load.cache.from.file.ms,1733086849345000000,1733086866694000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1733086849345000000,1733086866694000000,0
jps.save.global.entities.ms,1733086849345000000,1733086866694000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1733086849345000000,1733086866694000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1733086849345000000,1733086866694000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1733086849345000000,1733086866694000000,0
jps.global.initialize.library.bridges.after.loading.ms,1733086849345000000,1733086866694000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1733086849345000000,1733086866694000000,0
workspaceModel.mutableEntityStorage.entities.ms,1733086849345000000,1733086866694000000,1
