# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1733080719162000000,1733080736802000000,10
cacheStateStorage.set.counter,1733080719162000000,1733080736802000000,0
cacheStateStorage.set.duration,1733080719162000000,1733080736802000000,0
cacheStateStorage.get.duration,1733080719162000000,1733080736802000000,0
VFS.fileByIdCache.misses,1733080719162000000,1733080736802000000,0
VFS.invertedFileNameIndex.requests,1733080719162000000,1733080736802000000,0
VFS.fileByIdCache.hits,1733080719162000000,1733080736802000000,0
VFS.fileChildByName,1733080719162000000,1733080736802000000,10
NonBlockingReadAction.finalizedExecutionTimeUs,1733080719162000000,1733080736802000000,86698
WriteAction.executionsCount,1733080719162000000,1733080736802000000,1
ReadAction.executionsCount,1733080719162000000,1733080736802000000,45775
AWTEventQueue.eventsDispatched,1733080719162000000,1733080736802000000,0
FlushQueue.executionTimeMaxNs,1733080719162000000,1733080736802000000,0
FlushQueue.waitingTimeMaxNs,1733080719162000000,1733080736802000000,0
NonBlockingReadAction.finalizedExecutionsCount,1733080719162000000,1733080736802000000,17
NonBlockingReadAction.failedExecutionsCount,1733080719162000000,1733080736802000000,0
AWTEventQueue.dispatchTimeTotalNS,1733080719162000000,1733080736802000000,16154510033
FlushQueue.queueSize90P,1733080719162000000,1733080736802000000,0
FlushQueue.waitingTimeAvgNs,1733080719162000000,1733080736802000000,0.0
FlushQueue.tasksExecuted,1733080719162000000,1733080736802000000,0
FlushQueue.queueSizeMax,1733080719162000000,1733080736802000000,0
AWTEventQueue.dispatchTimeMaxNs,1733080719162000000,1733080736802000000,0
AWTEventQueue.dispatchTime90PNs,1733080719162000000,1733080736802000000,0
FlushQueue.executionTimeAvgNs,1733080719162000000,1733080736802000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1733080719162000000,1733080736802000000,0.0
FlushQueue.executionTime90PNs,1733080719162000000,1733080736802000000,0
FlushQueue.queueSizeAvg,1733080719162000000,1733080736802000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1733080719162000000,1733080736802000000,0
FlushQueue.waitingTime90PNs,1733080719162000000,1733080736802000000,0
MappedFileStorage.storages,1733080719162000000,1733080736802000000,0
DirectByteBufferAllocator.misses,1733080719162000000,1733080736802000000,190
MappedFileStorage.totalTimeSpentOnMappingUs,1733080719162000000,1733080736802000000,72063
FilePageCacheLockFree.totalBytesWritten,1733080719162000000,1733080736802000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1733080719162000000,1733080736802000000,0
MappedFileStorage.totalPagesMapped,1733080719162000000,1733080736802000000,0
FilePageCache.capacityInBytes,1733080719162000000,1733080736802000000,503316478
FilePageCacheLockFree.totalClosedStoragesReclaimed,1733080719162000000,1733080736802000000,0
FilePageCacheLockFree.heapBytesInUse,1733080719162000000,1733080736802000000,0
DirectByteBufferAllocator.reclaimed,1733080719162000000,1733080736802000000,43
FilePageCacheLockFree.totalPagesWritten,1733080719162000000,1733080736802000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1733080719162000000,1733080736802000000,0
StorageLockContext.competingThreads.90P,1733080719162000000,1733080736802000000,0
FilePageCacheLockFree.totalPagesReclaimed,1733080719162000000,1733080736802000000,0
FilePageCacheLockFree.totalPagesAllocated,1733080719162000000,1733080736802000000,0
FilePageCache.pageHits,1733080719162000000,1733080736802000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1733080719162000000,1733080736802000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1733080719162000000,1733080736802000000,41943040
FilePageCacheLockFree.totalPagesReadMs,1733080719162000000,1733080736802000000,0
