# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1733086694089000000,1733086712360000000,0
writeAction.max.wait.ms,1733086694089000000,1733086712360000000,0
writeAction.wait.ms,1733086694089000000,1733086712360000000,0
writeAction.count,1733086694089000000,1733086712360000000,1
cacheStateStorage.get.counter,1733086694089000000,1733086712360000000,10
cacheStateStorage.set.counter,1733086694089000000,1733086712360000000,0
cacheStateStorage.set.duration,1733086694089000000,1733086712360000000,0
cacheStateStorage.get.duration,1733086694089000000,1733086712360000000,0
FilePageCache.pageHits,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalPagesHandedOver,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalPagesAllocated,1733086694089000000,1733086712360000000,0
MappedFileStorage.storages,1733086694089000000,1733086712360000000,0
StorageLockContext.competingThreads.avg,1733086694089000000,1733086712360000000,0.0
FilePageCacheLockFree.nativeBytesInUse,1733086694089000000,1733086712360000000,0
FilePageCache.capacityInBytes,1733086694089000000,1733086712360000000,503316478
FilePageCacheLockFree.totalNativeBytesAllocated,1733086694089000000,1733086712360000000,0
MappedFileStorage.totalPagesMapped,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1733086694089000000,1733086712360000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1733086694089000000,1733086712360000000,41943040
FilePageCacheLockFree.housekeeperTimeSpentMs,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1733086694089000000,1733086712360000000,0
FilePageCache.maxRegisteredFiles,1733086694089000000,1733086712360000000,529
FilePageCacheLockFree.totalPagesWriteMs,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalPagesReclaimed,1733086694089000000,1733086712360000000,0
DirectByteBufferAllocator.reclaimed,1733086694089000000,1733086712360000000,43
FilePageCacheLockFree.totalBytesRequested,1733086694089000000,1733086712360000000,0
FilePageCache.pageLoads,1733086694089000000,1733086712360000000,193
FilePageCacheLockFree.totalBytesWritten,1733086694089000000,1733086712360000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1733086694089000000,1733086712360000000,0
DirectByteBufferAllocator.misses,1733086694089000000,1733086712360000000,190
MappedFileStorage.totalBytesMapped,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalPagesRequested,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1733086694089000000,1733086712360000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1733086694089000000,1733086712360000000,0
FilePageCache.maxCacheSizeInBytes,1733086694089000000,1733086712360000000,199229440
StorageLockContext.competingThreads.max,1733086694089000000,1733086712360000000,0
FilePageCache.uncachedFileAccess,1733086694089000000,1733086712360000000,109
FilePageCacheLockFree.totalPagesWritten,1733086694089000000,1733086712360000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1733086694089000000,1733086712360000000,35426
FilePageCacheLockFree.totalBytesRead,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.heapBytesInUse,1733086694089000000,1733086712360000000,0
FilePageCache.disposedBuffers,1733086694089000000,1733086712360000000,193
StorageLockContext.competingThreads.90P,1733086694089000000,1733086712360000000,0
FilePageCache.totalPageLoadsUs,1733086694089000000,1733086712360000000,200610
FilePageCacheLockFree.totalHeapBytesAllocated,1733086694089000000,1733086712360000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1733086694089000000,1733086712360000000,41943040
FilePageCacheLockFree.housekeeperTurnsDone,1733086694089000000,1733086712360000000,0
DirectByteBufferAllocator.disposed,1733086694089000000,1733086712360000000,150
FilePageCacheLockFree.totalNativeBytesReclaimed,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalPagesReadMs,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1733086694089000000,1733086712360000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1733086694089000000,1733086712360000000,0
FilePageCache.totalPageDisposalsUs,1733086694089000000,1733086712360000000,3190
DirectByteBufferAllocator.hits,1733086694089000000,1733086712360000000,3
FilePageCache.pageFastCacheHits,1733086694089000000,1733086712360000000,3814
FlushQueue.waitingTimeMaxNs,1733086694089000000,1733086712360000000,0
WriteAction.executionsCount,1733086694089000000,1733086712360000000,1
FlushQueue.waitingTimeAvgNs,1733086694089000000,1733086712360000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1733086694089000000,1733086712360000000,16291962543
AWTEventQueue.dispatchTimeMaxNs,1733086694089000000,1733086712360000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1733086694089000000,1733086712360000000,109705
ReadAction.executionsCount,1733086694089000000,1733086712360000000,45775
FlushQueue.executionTime90PNs,1733086694089000000,1733086712360000000,0
FlushQueue.executionTimeAvgNs,1733086694089000000,1733086712360000000,0.0
FlushQueue.queueSizeAvg,1733086694089000000,1733086712360000000,0.0
FlushQueue.queueSizeMax,1733086694089000000,1733086712360000000,0
NonBlockingReadAction.failedExecutionsCount,1733086694089000000,1733086712360000000,0
AWTEventQueue.dispatchTimeAvgNs,1733086694089000000,1733086712360000000,0.0
FlushQueue.executionTimeMaxNs,1733086694089000000,1733086712360000000,0
FlushQueue.queueSize90P,1733086694089000000,1733086712360000000,0
FlushQueue.waitingTime90PNs,1733086694089000000,1733086712360000000,0
NonBlockingReadAction.failedExecutionTimeUs,1733086694089000000,1733086712360000000,0
AWTEventQueue.eventsDispatched,1733086694089000000,1733086712360000000,0
AWTEventQueue.dispatchTime90PNs,1733086694089000000,1733086712360000000,0
NonBlockingReadAction.finalizedExecutionsCount,1733086694089000000,1733086712360000000,17
FlushQueue.tasksExecuted,1733086694089000000,1733086712360000000,0
