# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.housekeeperTurnsSkipped,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.totalPagesRequested,1733078897823000000,1733078918655000000,0
FilePageCache.pageLoads,1733078897823000000,1733078918655000000,189
FilePageCacheLockFree.totalPagesHandedOver,1733078897823000000,1733078918655000000,0
DirectByteBufferAllocator.reclaimed,1733078897823000000,1733078918655000000,43
FilePageCacheLockFree.totalBytesRequested,1733078897823000000,1733078918655000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1733078897823000000,1733078918655000000,0
FilePageCache.disposedBuffers,1733078897823000000,1733078918655000000,189
FilePageCache.capacityInBytes,1733078897823000000,1733078918655000000,503316478
FilePageCache.uncachedFileAccess,1733078897823000000,1733078918655000000,328
FilePageCacheLockFree.totalPageAllocationsWaited,1733078897823000000,1733078918655000000,0
DirectByteBufferAllocator.misses,1733078897823000000,1733078918655000000,186
FilePageCache.maxRegisteredFiles,1733078897823000000,1733078918655000000,518
FilePageCacheLockFree.nativeBytesInUse,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1733078897823000000,1733078918655000000,0
FilePageCache.pageFastCacheHits,1733078897823000000,1733078918655000000,12950
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1733078897823000000,1733078918655000000,41943040
FilePageCacheLockFree.housekeeperTurnsDone,1733078897823000000,1733078918655000000,0
FilePageCache.totalPageLoadsUs,1733078897823000000,1733078918655000000,129766
FilePageCacheLockFree.totalBytesRead,1733078897823000000,1733078918655000000,0
FilePageCache.maxCacheSizeInBytes,1733078897823000000,1733078918655000000,195035136
FilePageCacheLockFree.totalHeapBytesAllocated,1733078897823000000,1733078918655000000,0
DirectByteBufferAllocator.disposed,1733078897823000000,1733078918655000000,146
FilePageCache.pageHits,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.heapBytesInUse,1733078897823000000,1733078918655000000,0
StorageLockContext.competingThreads.max,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1733078897823000000,1733078918655000000,0
FilePageCache.totalPageDisposalsUs,1733078897823000000,1733078918655000000,2387
FilePageCacheLockFree.totalPagesReadMs,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.totalPagesAllocated,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.totalBytesWritten,1733078897823000000,1733078918655000000,0
FilePageCacheLockFree.totalPagesWritten,1733078897823000000,1733078918655000000,0
StorageLockContext.competingThreads.90P,1733078897823000000,1733078918655000000,0
